Produit,SKU,Client,Logo blanc,Catégorie,Catégorie client,Contenance,Mockup-appli,ADV,Etuis/étiquettes (dernière version validée),Dosage pour,Allégations complètes,Allégations selectionnées,Composition,Liste d'ingrédients,Conseils d'utilisation,Précaution d'emploi,Poids net,Attestation de déclaration,ACL,Mockup,MOCKUP PN - v2 (old),MOCKUP PN - v1 (old),Statut Mockup,Photos du produit
CIRCODOL,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Circulation,Minolvie metoo,60 gélules,minolvie-circodol150-60g.png (https://dl.airtable.com/.attachments/cf37f182c1b13d8d981650435de142f5/cd514956/minolvie-circodol150-60g.png),,"EXE VERNIS MINOLVIE CIRCODOL 150 60gelules.pdf (https://dl.airtable.com/.attachments/5ddeeed63b552b3f982ef5f07667f290/f8fcfd0e/EXEVERNISMINOLVIECIRCODOL15060gelules.pdf),EXE MINOLVIE CIRCODOL 150 60gelules.pdf (https://dl.airtable.com/.attachments/9e832b6f06dc5d8bd2be8f345eb69824/2d967e1f/EXEMINOLVIECIRCODOL15060gelules.pdf)",,,,,,,,,,,minolvie-circodol150-60g.png (https://dl.airtable.com/.attachments/0e0103bdf99fedb720500623241a37a4/b8009985/minolvie-circodol150-60g.png),,,Fait,
CNDS 5M,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Probiotiques,Minolvie - biotic,45 gélules,CNDS-5M-mockup_1.png (https://dl.airtable.com/.attachments/71904e3e7fa8f785f42f13948cc3b99e/653cf32e/CNDS-5M-mockup_1.png),,"EXE MINOLVIE BIOTIC 45 gelules CNDS 5M.pdf (https://dl.airtable.com/.attachments/9849b5da34cc478e3dfcbec4cc0def6d/2100e818/EXEMINOLVIEBIOTIC45gelulesCNDS5M.pdf),EXE VERNIS MINOLVIE BIOTIC 45 gelules.pdf (https://dl.airtable.com/.attachments/ab359c6fc4f0724771d11154c09fbf14/0d0911c1/EXEVERNISMINOLVIEBIOTIC45gelules.pdf)",1 gélule,,"1 souche microbiotique dosée à 5 Milliards par Gélule :
LACTOBACILUS HELVETICUS CANDISIS LA401","'- LACTOBACILUS HELVETICUS CANDISIS LA401 5*10 9 UFC**

Autres ingrédients:
Inuline (5 mg) ; Fibre d’acacia (100 mg) ; Extrait de Nu-rice (xx mg) ; Gélule pullulane (108 mg)",,1 gélule par jour,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas
être utilisé comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas
dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes
enceintes ou qui allaitent et aux enfants de moins de 12 ans.","22,77 g",,,CNDS 5M mockup_1.png (https://dl.airtable.com/.attachments/dbed7ee76d6627a05ce688c562c90257/433cd33d/CNDS5Mmockup_1.png),,,Fait,
CNDS 10 M,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Probiotiques,Minolvie - biotic,15 gélules,CNDS-10M-mockup_1.png (https://dl.airtable.com/.attachments/25ed4625450c46eaef60a20196b56635/af261064/CNDS-10M-mockup_1.png),,"EXE MINOLVIE BIOTIC 15 gelules CNDS 10 M.pdf (https://dl.airtable.com/.attachments/9abaecfba2832dbe1f818421f7feff34/46788b01/EXEMINOLVIEBIOTIC15gelulesCNDS10M.pdf),EXE VERNIS MINOLVIE BIOTIC 15+30 gelules.pdf (https://dl.airtable.com/.attachments/2061011b8b8ac556c1c2c8a5b60d6717/f98447d6/EXEVERNISMINOLVIEBIOTIC1530gelules.pdf)",1 gélule,,"1 souche microbiotique dosée à 10 Milliards par Gélule :
LACTOBACILUS HELVETICUS CANDISIS LA401","'- Lactobacilus helbeticus candisis La401 : 10*109 UFC**
Autres ingrédients:
Inuline (5 mg) ; Fibre d’acacia (100 mg) ; Extrait de Nu-rice ; Gélule pullulane (108 mg)",,1 gélule par jour,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans.","9,16 g",,,CNDS 10M mockup_1.png (https://dl.airtable.com/.attachments/ba8443afe9bf1696225ee490ca9c926e/805c48b3/CNDS10Mmockup_1.png),,,Fait,
CURCUMA,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Bio,Sephyto,200 gélules,Sephyto-articulation-curcuma-200g.png (https://dl.airtable.com/.attachments/8827cff01e75e20c2a55317a7d4ae4d8/5531547e/Sephyto-articulation-curcuma-200g.png),,SÉ EXE NEXT ARTICULATION CURCUMA.pdf (https://dl.airtable.com/.attachments/42029ee8d74a03713158bfdc0d2d841f/29b5db80/SEXENEXTARTICULATIONCURCUMA.pdf),,,- Aide à maintenir une bonne mobilité.,300 mg par gélule,"Ingrédients pour 3 gélules :
900 mg de poudre de rhizomes de CURCUMA BIO et 225 mg
d’enveloppe végétale hydroxypropylméthylcellulose",1 à 3 gélules par jour,"Complément alimentaire à base de plantes à but nutritionnel ou
physiologique, doit être tenu hors de portée des enfants. Utiliser dans
le cadre d’une alimentation variée, équilibrée et d’un mode de vie sain.
Ne pas dépasser la dose journalière recommandée. Déconseillé aux
personnes sous anticoagulant.",75 g,,,Sephyto-articulation-curcuma-200g.png (https://dl.airtable.com/.attachments/b63fc53dc7b6e19445dba96ac122de2f/22e863c4/Sephyto-articulation-curcuma-200g.png),,,Fait,
DEFENSE ,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Probiotiques,Minolvie - biotic,30 gélules,DEFENSE-mockup_1.png (https://dl.airtable.com/.attachments/4f35e5b76924ea0a5f7572066de92866/c0ac1a2c/DEFENSE-mockup_1.png),,"EXE MINOLVIE BIOTIC 30 gelules DEFENSE.pdf (https://dl.airtable.com/.attachments/1432ef5fc9a4285765c4639385242402/704b2891/EXEMINOLVIEBIOTIC30gelulesDEFENSE.pdf),EXE VERNIS MINOLVIE BIOTIC 15+30 gelules.pdf (https://dl.airtable.com/.attachments/83378fa6cd9a04c7bf00d8674ee17761/82ac932a/EXEVERNISMINOLVIEBIOTIC1530gelules.pdf)",,,"LACTOBACILUS ACIDOPHILUS LA201 *
LACTOBACILUS HELVETICUS LA102
BIFIDO BACTERIUM LONGUM LA101 *
ANDROGRAPHIS + ZINC + VITAMINE C","'- LACTOBACILUS ACIDOPHILUS LA201 microencapsulé
- LACTOBACILUS HELVETICUS LA102
- BIFIDO BACTERIUM LONGUM LA101 microencapsulé
- Andrographis : 120 mg
- Vitamine C ; 25 mg
- Zinc 5 mg

Autres ingrédients:
Inuline (50 mg) ; Fibre d’acacia (115 mg) ; Extrait Nu-rice (xx mg) ; Gélule pullulane (108 mg)",,1 gélule par jour,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans.","14,88 g",,,DEFENSE mockup_1.png (https://dl.airtable.com/.attachments/5b772f15154f7d4dc39d9c6f857de915/26084ace/DEFENSEmockup_1.png),,,Fait,
DESMODIUM ,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Bio,Sephyto,200 gélules,Sephyto-digestion-desmodium-200g.png (https://dl.airtable.com/.attachments/2509de7b87592e174e2c0fc92ac673d0/882bfb4d/Sephyto-digestion-desmodium-200g.png),,SÉ EXE NEXT DIGESTION DESMODIUM.pdf (https://dl.airtable.com/.attachments/f73ec57afcd9f71e21fa5b93552d6246/5044bfca/SEXENEXTDIGESTIONDESMODIUM.pdf),,,- Drainant.,200 mg par gélule,"Ingrédients pour 4 gélules :
800 mg de poudre de feuilles
de DESMODIUM
et 300 mg d’enveloppe végétale
hydroxypropylméthylcellulose.",2 à 4 gélules par jour,"Complément alimentaire à base de plantes à but nutritionnel ou
physiologique, doit être tenu hors de portée des enfants. Utiliser dans le cadre d’une alimentation variée, équilibrée et d’un mode de vie sain. Ne pas dépasser la dose journalière recommandée.",55 g,,,Sephyto-digestion-desmodium-200g.png (https://dl.airtable.com/.attachments/e1e048bafe0bd6bd8d6029a3c9812b91/f414e599/Sephyto-digestion-desmodium-200g.png),,,Fait,
DETOX,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Digestion Transit Detox,Minolvie expert,30 gélules,minolvie-expert-detox-30g.png (https://dl.airtable.com/.attachments/520eced6c8d2b647c7dccfd5225173cc/b722b2cd/minolvie-expert-detox-30g.png),,"EXE V2 MINOLVIE EXPERT 30 GELULES DETOX MAT (1).pdf (https://dl.airtable.com/.attachments/aaf1cdf269bae83db4174a3c7afbd1df/fed50c44/EXEV2MINOLVIEEXPERT30GELULESDETOXMAT1.pdf),EXE V2 MINOLVIE EXPERT 30 GELULES DETOX DORURE.pdf (https://dl.airtable.com/.attachments/9d3b2e7b7a1ea97aa7ec4608be3a57a3/9aa01613/EXEV2MINOLVIEEXPERT30GELULESDETOXDORURE.pdf),EXE V2 MINOLVIE EXPERT 30 GELULES DETOX VERNIS (1).pdf (https://dl.airtable.com/.attachments/adeda794e9d903b92547542f591dbe6e/e780fd92/EXEV2MINOLVIEEXPERT30GELULESDETOXVERNIS1.pdf),EXE V2 MINOLVIE EXPERT 30 GELULES DETOX (1).pdf (https://dl.airtable.com/.attachments/124574131e0b73813064f461028ac44e/2148dbfa/EXEV2MINOLVIEEXPERT30GELULESDETOX1.pdf)", 2 gélules,,,"- Chlorelle : 200 mg
- Chlorophylle magnésienne : 100 mg
- Siliphos® : Extrait de fruits de chardon-marie : 80 mg
- Extrait de racines de pissenlit : 50 mg
- Extrait de racines de bardane : 50 mg
- Extrait de feuilles de bouleau : 50 mg
- Extrait de parties aériennes de fumeterre : 50 mg
- Extrait de fruits de fenouil : 50 mg
- Extrait de parties aériennes de marrube : 50 mg",Poudre de chlorelle (Chlorella pyrenoidosa) ; Chlorophylle magnésienne ; Gélule végétale : Pullulan ; Agent de charge : Gomme d’acacia ; Siliphos® : Extrait de fruits de chardon-marie (Silybum marianum) ; Extrait de racines de pissenlit (Taraxacum campylodes) ; Extrait de racines de bardane (Arctium lappa) ; Extrait de feuilles de bouleau (Betula pubescens) ; Extrait de parties aériennes de fumeterre (Fumaria officinalis) ; Extrait de fruits de fenouil (Foeniculum vulgare) ; Extrait de parties aériennes de marrube (Marrubium vulgare) ; Anti-agglomérant : Extrait de riz.,1 gélule matin et soir après le repas,"Ce produit est un complément alimentaire à base d’extrait de plantes, d’algues et de chlorophylle magnésienne. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes allergiques aux dérivés salicylés ou sous traitement anticoagulant. À conserver à l'abri de la chaleur, de la lumière et de l’humidité.","15,78 g",,,minolvie-expert-detox-30g.png (https://dl.airtable.com/.attachments/5a5b0b3a94f780397696133896893f3b/93cb81b7/minolvie-expert-detox-30g.png),,,Fait,
DIGEST,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Digestion Transit Detox,Minolvie nutra,60 gélules,DIGEST-mockup_1.png (https://dl.airtable.com/.attachments/4d7a01b1f6e0ffac3fd31a0ae3469a5c/04a9a788/DIGEST-mockup_1.png),,"EXE MINOLVIE NUTRA 60 gelules DIGEST.pdf (https://dl.airtable.com/.attachments/3fbe319feaa0251ed9839e6623fc3f65/191c4772/EXEMINOLVIENUTRA60gelulesDIGEST.pdf),EXE VERNIS MINOLVIE NUTRA 60 gelules.pdf (https://dl.airtable.com/.attachments/c08ce307299e488767312c2dfc9920de/fe66ff20/EXEVERNISMINOLVIENUTRA60gelules.pdf)",,,"Riche en L-GLUTAMINE / CURCUMA* / MELISSE et Vitamine B2
- Favorise le confort digestif (en cas de stress)
- Maintien les muqueuses intestinales normales (en cas d’intolérances alimentaires)
","L-Glutamine : 500 mg 
Curcuma microencapsulé : 100 mg
 
Mélisse : 100 mg
 
Vitamine B2 : 1,4 mg 100 %
Vitamine B3 : 16 mg 100 %

Autres ingrédients :
Extrait de Nu-rice (xx mg) ; Gomme d’acacia (140 mg) ; Gélule pullulan (216 mg)",,1 à 2 gélules par jour,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. Déconseillé aux personnes sous traitement anticoagulants.","33,48 g",,,DIGEST mockup_1.png (https://dl.airtable.com/.attachments/4caf0a69ee8950eb58b0dc0f431fccee/96781a80/DIGESTmockup_1.png),,,Fait,
DOLCALM,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Douleur et inflammation,Minolvie nutra,60 gélules,DOLCALM-mockup_1.png (https://dl.airtable.com/.attachments/3184f249d2737c7319ce9e5b39b23bb2/99635fdf/DOLCALM-mockup_1.png),,"EXE MINOLVIE NUTRA 60 gelules DOLCALM.pdf (https://dl.airtable.com/.attachments/009631fd40433af14fde9f91fdf54149/66d2a031/EXEMINOLVIENUTRA60gelulesDOLCALM.pdf),EXE VERNIS MINOLVIE NUTRA 60 gelules.pdf (https://dl.airtable.com/.attachments/c7f36b6d3caf7c61dc3fb392833e4261/1578aac5/EXEVERNISMINOLVIENUTRA60gelules.pdf)",,,,,,,,,,,DOLCALM mockup_1.png (https://dl.airtable.com/.attachments/567b5864778fe5bcbf487421c620f8e4/706ca06b/DOLCALMmockup_1.png),,,Fait,
ESCHSCHOLZIA,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Bio,Sephyto,200 gélules,Sephyto-stress-eschschololzia-200g.png (https://dl.airtable.com/.attachments/7b657e0136501604333dfb6262d83867/67f51cbf/Sephyto-stress-eschschololzia-200g.png),,SÉ EXE NEXT DIGESTION DESMODIUM (1).pdf (https://dl.airtable.com/.attachments/e0eff23c6d76fabd6a72e4dca2f68e87/02961494/SEXENEXTDIGESTIONDESMODIUM1.pdf),,,- Améliore la qualité du sommeil naturel.,"240 mg par gélule
","Ingrédients pour 6 gélules : 
1,44 gr de poudre de parties aériennes d’ ESCHSCHOLZIA BIO
et 450 mg d’enveloppe végétale hydroxypropylméthylcellulose",3 à 6 gélules par jour,"Complément alimentaire à base de plantes à but nutritionnel ou
physiologique, doit être tenu hors de portée des enfants. Utiliser dans le cadre d’une alimentation variée, équilibrée et d’un mode de vie sain. Ne pas dépasser la dose journalière recommandée.",63 g,,,Sephyto-digestion-desmodium-200g (1).png (https://dl.airtable.com/.attachments/1504fbf2bf5c2fb1c71d36c932fc7509/db6e23fb/Sephyto-digestion-desmodium-200g1.png),,,Fait,
FEMINA FLASH,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Confort urinaire,Minolvie nutra,15 gélules,FEMINA-FLASH.png (https://dl.airtable.com/.attachments/26a0a6ce0a076484059d8c2a92121cf0/31f52b45/FEMINA-FLASH.png),,"EXE MINOLVIE NUTRA 15 gelules FEMINA FLASH.pdf (https://dl.airtable.com/.attachments/f0df48cab9d3820ede962c0b5a9efe6e/fa56d732/EXEMINOLVIENUTRA15gelulesFEMINAFLASH.pdf),EXE VERNIS MINOLVIE NUTRA 15-30gelules.pdf (https://dl.airtable.com/.attachments/632e15bf9f23cf36b32ee57f9a56e057/d1ca5ae8/EXEVERNISMINOLVIENUTRA15-30gelules.pdf)",,,"Riche en D-Mannose / Hibiscus / Busserole
- Confort urinaire - CURE D’ATTAQUE
- Favorise une élimination urinaire normale
","'- D-Mannose : 500 mg
- Extrait de Buchu : 300 mg
- Extrait d'Hydraste du canada : 150 mg
- Extrait de Busserole : 100 mg
- Extrait d'Hibiscus : 100 mg
- Picolinate de zinc :  75 mg
dont zinc élément  : 15 mg 100%
- Sélénium : 22 µg 40%

Autres ingrédients :
Extrait de Nu-rice (xx mg); Gomme d’acacia (120 mg) ; Gélule pullulan (324 mg)",,1 à 3 gélules par jour,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. Déconseillé en cas d’insuffisance rénale. Ne pas utiliser plus d’une semaine. ","8,37 g",,,FEMINA-FLASH.png (https://dl.airtable.com/.attachments/a450f7e480232c504718cff838ccae22/75581fad/FEMINA-FLASH.png),,,Fait,
FEMINA PROTECT,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Probiotiques,Minolvie - biotic,30 gélules,FEMINA-PROTECT-mockup.png (https://dl.airtable.com/.attachments/021aaa122308a333a54e867993412849/2cdd4340/FEMINA-PROTECT-mockup.png),,"EXE MINOLVIE BIOTIC 30 gelules FEMINA PROTECT.pdf (https://dl.airtable.com/.attachments/b0e89fcd2dd982483398726d4c3509d8/dfba0e91/EXEMINOLVIEBIOTIC30gelulesFEMINAPROTECT.pdf),EXE VERNIS MINOLVIE BIOTIC 15+30 gelules.pdf (https://dl.airtable.com/.attachments/50a59dcd269cde14448e33beea749ea8/8de68931/EXEVERNISMINOLVIEBIOTIC1530gelules.pdf)",,,,,,,,,,,FEMINA-PROTECT mockup.png (https://dl.airtable.com/.attachments/40fa4448819a23b70230dea64e2eb8ae/74de23ff/FEMINA-PROTECTmockup.png),,,Fait,
FENUGREC,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Bio,Sephyto,200 gélules,Sephyto-digestion-fenugrec-200g.png (https://dl.airtable.com/.attachments/9a0e79b0f66c15fa98f24bb0d2c48897/cb3044db/Sephyto-digestion-fenugrec-200g.png),,SÉ EXE NEXT DIGESTION FENUGREC.pdf (https://dl.airtable.com/.attachments/e6ee8538fafdadbfc8590b84c46abe0f/7f2da580/SEXENEXTDIGESTIONFENUGREC.pdf),,,- Favorise le confort digestif,335 mg par gélule,"Ingrédients pour 6 gélules :
2,01 gr de poudre de semences de FENUGREC BIO et 450 mg d’enveloppe végétale hydroxypropylméthylcellulose.
", 3 à 6 gélules par jour,"Restrictions :
Déconseillé aux femmes enceintes

Précaution d'emploi
Complément alimentaire à base de plantes à but nutritionnel ou
physiologique, doit être tenu hors de portée des enfants. Utiliser dans le cadre d’une alimentation variée, équilibrée et d’un mode de vie sain. Ne pas dépasser la dose journalière recommandée.",82 g,,,Sephyto-digestion-fenugrec-200g.png (https://dl.airtable.com/.attachments/4ce771c98dda16998a99ed6adbfd6a87/da35ee76/Sephyto-digestion-fenugrec-200g.png),,,Fait,
FLEXORANE,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Douleur et inflammation,Minolvie expert,30 gélules,minolvie-expert-flexorane-30g.png (https://dl.airtable.com/.attachments/774c28e56dc191d49ea5d351f25195fc/6f9db9b7/minolvie-expert-flexorane-30g.png),,"EXE V2 MINOLVIE EXPERT 30 GELULES FLEXORANE DORURE.pdf (https://dl.airtable.com/.attachments/af2850edfbac9bf97408554470832f43/0ec2a644/EXEV2MINOLVIEEXPERT30GELULESFLEXORANEDORURE.pdf),EXE V2 MINOLVIE EXPERT 30 GELULES FLEXORANE VERNIS (1).pdf (https://dl.airtable.com/.attachments/bc0c465da74ef738a3b2b8e824d691f7/bd085dc7/EXEV2MINOLVIEEXPERT30GELULESFLEXORANEVERNIS1.pdf),EXE V2 MINOLVIE EXPERT 30 GELULES FLEXORANE MAT (1).pdf (https://dl.airtable.com/.attachments/d4186b004197b00e01c1f75ffc142d1d/ceb32138/EXEV2MINOLVIEEXPERT30GELULESFLEXORANEMAT1.pdf),EXE V2 MINOLVIE EXPERT 30 GELULES FLEXORANE (1).pdf (https://dl.airtable.com/.attachments/f7cdb9e014ab0075ae344be74c968c8c/f63a940a/EXEV2MINOLVIEEXPERT30GELULESFLEXORANE1.pdf)",2 gélules,,,"'- Acujoint® 500 mg
dont extrait de Curcuma 180 mg
dont extrait de Kaempferia galanga 120 mg
dont extrait de Boswellie 100 mg
dont extrait de poivre noir 100 mg
- Levagen® : Palmitoyléthanolamide (PEA) 100 mg
- Scutell’Up® : Extrait de Scutellaire du lac Baikal titré à 85% de baïcaline 50 mg
- Extrait de cassis titré à 15% de polyphénol 50 mg
- Extrait de frêne
- UCII® : Complexe de peptides de collagène 40 mg
dont collagène 10 mg","Acujoint® : Extrait de rhizomes de Curcuma longa, extrait de rhizomes de Kaempferia galanga, extrait de gomme de Boswellia serrata, extrait d’huile de fruits de Piper nigrum ; Gélule végétale : Pullulan ; Levagen® : Palmitoyléthanolamide (PEA) ; Agent de charge : Gomme d’acacia ; Scuteill’Up® : Extrait de racines de Scutellaria baicalensis ; Extrait de feuilles de cassis (Ribes nigrum) ; Extrait de feuilles de frêne (Fraxinus excelsior) ; UCII® : Complexe de peptides de collagène ; Anti-agglomérant : Extrait de riz
",1 à 2 gélules par jour,"Ce produit est un complément alimentaire à base de plantes et de substances. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous traitement anticoagulant. À conserver à l'abri de la chaleur, de la lumière et de l’humidité.","16,53 g",,,minolvie-expert-flexorane-30g.png (https://dl.airtable.com/.attachments/f1e12841dcb7b3c339f805929ae4ca19/c1397b10/minolvie-expert-flexorane-30g.png),,,Fait,
FORT,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Probiotiques,Minolvie - biotic,15 gélules,FORT.png (https://dl.airtable.com/.attachments/9f149dba1eead35abe47ef022b35c234/06a3f0c8/FORT.png),,"EXE MINOLVIE BIOTIC 15 gelules FORT.pdf (https://dl.airtable.com/.attachments/5449fc57534cac0ae2820ce5874c623b/1a6600f3/EXEMINOLVIEBIOTIC15gelulesFORT.pdf),EXE VERNIS MINOLVIE BIOTIC 15+30 gelules.pdf (https://dl.airtable.com/.attachments/d7f4bf55dfc3019b3581412adc4a3fe6/f32cf4d9/EXEVERNISMINOLVIEBIOTIC1530gelules.pdf)",,,"8 souches microbiotiques dosées à 40 Milliards par Gélule :
- BIFIDO BACTERIUM LACTIS LA304
- BIFIDO BACTERIUM BIFIDUM LA803
- BIFIDO BACTERIUM LACTIS LA804
- BIFIDO BACTERIUM BREVE LA805
- LACTOBACILUS ACIDOPHILUS LA201
- LACTOBACILUS RHAMNOSUS LA801
- LACTOBACILLUS GASSERI LA806
- LACTOBACILLUS ACIDOPHILUS LA807","40*10 9 UFC** :
- BIFIDO BACTERIUM LACTIS LA304
- BIFIDO BACTERIUM BIFIDUM LA803
- BIFIDO BACTERIUM LACTIS LA804
- BIFIDO BACTERIUM BREVE LA805
- LACTOBACILUS ACIDOPHILUS LA201
- LACTOBACILUS RHAMNOSUS LA801
- LACTOBACILLUS GASSERI LA806
- LACTOBACILLUS ACIDOPHILUS LA807

Autres ingrédients :
Inuline (10 mg) ; Fibre d’acacia (10 mg) ; Extrait de Nu-rice (xx mg) ; Gélule pullulane (108 mg)",,1 à 2 gélules par jour,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans.","8,70g",,,FORT.png (https://dl.airtable.com/.attachments/3bb4c6054a12b20295b0dc1332260be8/d6ccd92a/FORT.png),,,Fait,
GINGEMBRE,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Bio,Sephyto,200 gélules,Sephyto-tonus-vitalite-gingembre-200g.png (https://dl.airtable.com/.attachments/17ef41f85c2926066cbadc3d9a77f19b/38ca1805/Sephyto-tonus-vitalite-gingembre-200g.png),,SÉ EXE NEXT TONUS VITALITE GINGEMBRE.pdf (https://dl.airtable.com/.attachments/bd7cdf4b2d112e5b7aae4f1b689b6526/a16c5438/SEXENEXTTONUSVITALITEGINGEMBRE.pdf),,,- contribue au bien-être physique.,300 mg par gélule,"Ingrédients pour 3 gélules :
900 mg de poudre de racines de GINGEMBRE BIO et 225 mg d’enveloppe végétale hydroxypropylméthylcellulose.",1 à 3 gélules par jour,"Complément alimentaire à base de plantes à but nutritionnel ou
physiologique, doit être tenu hors de portée des enfants. Utiliser dans le cadre d’une alimentation variée, équilibrée et d’un mode de vie sain. Ne pas dépasser la dose journalière recommandée.",75 g,,,Sephyto-tonus-vitalite-gingembre-200g.png (https://dl.airtable.com/.attachments/3c7f88190189c06bfdbe2a735375face/5fac17b8/Sephyto-tonus-vitalite-gingembre-200g.png),,,Fait,
